deviceID	flowData	current	watthourData	localDate	localTime	UTCtime
HyErn3Blm	null	0	0	2018-07-02	13:13:19	2018-07-02T23:13:19.000Z
HyErn3Blm	null	0	0	2018-07-02	13:28:19	2018-07-02T23:28:19.000Z
HyErn3Blm	null	1.64	98.34	2018-07-02	13:43:19	2018-07-02T23:43:19.000Z
HyErn3Blm	null	0	0	2018-07-02	13:58:19	2018-07-02T23:58:19.000Z
HyErn3Blm	null	0	0	2018-07-03	14:13:19	2018-07-03T00:13:19.000Z
HyErn3Blm	null	0	0	2018-07-03	14:28:19	2018-07-03T00:28:19.000Z
HyErn3Blm	null	0	0	2018-07-03	14:43:19	2018-07-03T00:43:19.000Z
HyErn3Blm	null	0	0	2018-07-03	14:58:19	2018-07-03T00:58:19.000Z
HyErn3Blm	null	1.26	75.86	2018-07-03	15:13:20	2018-07-03T01:13:20.000Z
HyErn3Blm	null	1.35	81.06	2018-07-03	15:28:20	2018-07-03T01:28:20.000Z
HyErn3Blm	null	0	0	2018-07-03	15:43:20	2018-07-03T01:43:20.000Z
HyErn3Blm	null	0	0	2018-07-03	15:58:20	2018-07-03T01:58:20.000Z
HyErn3Blm	null	0	0	2018-07-03	16:13:20	2018-07-03T02:13:20.000Z
HyErn3Blm	null	0.4	23.44	2018-07-03	16:28:20	2018-07-03T02:28:20.000Z
HyErn3Blm	null	2.08	121.34	2018-07-03	16:43:19	2018-07-03T02:43:19.000Z
HyErn3Blm	null	0	0	2018-07-03	16:58:19	2018-07-03T02:58:19.000Z
HyErn3Blm	null	1.97	117.46	2018-07-03	17:13:20	2018-07-03T03:13:20.000Z
HyErn3Blm	null	0.16	9.25	2018-07-03	17:28:20	2018-07-03T03:28:20.000Z
HyErn3Blm	null	0	0	2018-07-03	17:43:20	2018-07-03T03:43:20.000Z
HyErn3Blm	null	0	0	2018-07-03	17:58:20	2018-07-03T03:58:20.000Z
HyErn3Blm	null	0	0	2018-07-03	18:13:20	2018-07-03T04:13:20.000Z
HyErn3Blm	null	0	0	2018-07-03	18:28:20	2018-07-03T04:28:20.000Z
HyErn3Blm	null	0	0	2018-07-03	18:43:20	2018-07-03T04:43:20.000Z
HyErn3Blm	null	0	0	2018-07-03	18:58:20	2018-07-03T04:58:20.000Z
HyErn3Blm	null	0	0	2018-07-03	19:13:20	2018-07-03T05:13:20.000Z
HyErn3Blm	null	0	0	2018-07-03	19:28:20	2018-07-03T05:28:20.000Z
HyErn3Blm	null	0	0	2018-07-03	19:43:20	2018-07-03T05:43:20.000Z
HyErn3Blm	null	1.24	72.76	2018-07-03	19:58:20	2018-07-03T05:58:20.000Z
HyErn3Blm	null	0	0	2018-07-03	20:13:20	2018-07-03T06:13:20.000Z
HyErn3Blm	null	2.49	146.81	2018-07-03	20:28:20	2018-07-03T06:28:20.000Z
HyErn3Blm	null	0.62	36.5	2018-07-03	20:43:20	2018-07-03T06:43:20.000Z
